Dealer PPM,Created On,Brand Affiliation,Build Date,Comment,Created By,Created By Delegate,Customer Name,Date failure,Date of Repair,Delivery Date,Event Type,Hours at failure,Modified By,Modified By Delegate,Modified On,Owner,Primary Affected Unit,Prime Product Application Category Code,Prime Product Application Category Name,Prime Product Application Code,Prime Product Application Name,Prime Product Family,Prime Product Family Code,Prime Product General Arrangement Number,Prime Product Model,Prime Product Source Facility,Product SNP,Record Created On,Serial Number,Service Meter Unit,SNP,Source Plant Code,Status,Status Reason,Work Order Number
CRM-1177492-X9N8,3/30/2020 16:43,Caterpillar,7/25/2018,Isando,"van Greune, Jaco",,TROLLOPE MINING SERVICES 2000 PTY LTD,,,9/27/2018,Dealer PPM,,"van Greune, Jaco",,3/30/2020 16:43,"van Greune, Jaco",No,107,MINING,548,Specialized Metals - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00159,,FKD,PM,Active,Active,
CRM-1177492-X9N8,3/30/2020 16:44,Caterpillar,8/17/2018,Isando,"van Greune, Jaco",,TROLLOPE MINING SERVICES 2000 PTY LTD,,,9/27/2018,Dealer PPM,,"van Greune, Jaco",,3/30/2020 16:44,"van Greune, Jaco",No,107,MINING,548,Specialized Metals - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00166,,FKD,PM,Active,Active,
CRM-1177492-X9N8,3/30/2020 16:45,Caterpillar,11/22/2018,Isando,"van Greune, Jaco",,BARLOWORLD EQUIPMENT - REPOSSESSED DIESEL POWER,,,3/1/2019,Dealer PPM,,"van Greune, Jaco",,3/30/2020 16:45,"van Greune, Jaco",No,107,MINING,548,Specialized Metals - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00169,,FKD,PM,Active,Active,
CRM-1177492-X9N8,3/30/2020 16:46,Caterpillar,10/19/2018,Isando,"van Greune, Jaco",,BARLOWORLD EQUIPMENT - REPOSSESSED DIESEL POWER,,,3/1/2019,Dealer PPM,,"van Greune, Jaco",,3/30/2020 16:46,"van Greune, Jaco",No,107,MINING,548,Specialized Metals - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00171,,FKD,PM,Active,Active,
CRM-1177492-X9N8,3/30/2020 16:47,Caterpillar,8/29/2018,Isando,"van Greune, Jaco",,TROLLOPE MINING SERVICES 2000 PTY LTD,,,11/11/2018,Dealer PPM,,"van Greune, Jaco",,3/30/2020 16:47,"van Greune, Jaco",No,107,MINING,548,Specialized Metals - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00173,,FKD,PM,Active,Active,
CRM-1177492-X9N8,3/30/2020 16:48,Caterpillar,12/4/2018,Isando,"van Greune, Jaco",,TROLLOPE MINING SERVICES 2000 PTY LTD,,,3/27/2019,Dealer PPM,,"van Greune, Jaco",,3/30/2020 16:48,"van Greune, Jaco",No,107,MINING,548,Specialized Metals - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00195,,FKD,PM,Active,Active,
CRM-1326673-S5B5,3/30/2020 17:22,Caterpillar,1/22/2018,Isando,"van Greune, Jaco",,TROLLOPE MINING SERVICES,,,3/27/2018,Dealer PPM,6570,"van Greune, Jaco",,3/30/2020 17:27,"van Greune, Jaco",Yes,107,MINING,510,Coal - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00128,,FKD,PM,Active,Active,
CRM-1326673-S5B5,3/30/2020 17:25,Caterpillar,7/25/2018,Isando,"van Greune, Jaco",,TROLLOPE MINING SERVICES 2000 PTY LTD,,,9/27/2018,Dealer PPM,4121,"van Greune, Jaco",,3/30/2020 17:25,"van Greune, Jaco",No,107,MINING,548,Specialized Metals - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00159,,FKD,PM,Active,Active,
CRM-1326673-S5B5,3/30/2020 17:26,Caterpillar,8/29/2018,Isando,"van Greune, Jaco",,TROLLOPE MINING SERVICES 2000 PTY LTD,,,11/11/2018,Dealer PPM,3862,"van Greune, Jaco",,3/30/2020 17:26,"van Greune, Jaco",No,107,MINING,548,Specialized Metals - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00173,,FKD,PM,Active,Active,
CRM-1326995-C4Z2,3/31/2020 0:34,Caterpillar,4/25/2017,,"Rutledge, Seth",,SIDWELL MATERIALS INC,,,1/25/2018,Dealer PPM,,"Rutledge, Seth",,3/31/2020 0:34,"Rutledge, Seth",Yes,107,MINING,550,Quarry/Stone - Surface,Articulated Trucks,AD,3786447,745C,Caterpillar (U.K.) Limited,TFK,,TFK01644,,TFK,U2,Active,Active,
CRM-1326995-C4Z2,3/31/2020 0:37,Caterpillar,5/2/2017,,"Rutledge, Seth",,SIDWELL MATERIALS INC,,,1/25/2018,Dealer PPM,3051,"Rutledge, Seth",,3/31/2020 0:37,"Rutledge, Seth",No,107,MINING,550,Quarry/Stone - Surface,Articulated Trucks,AD,3786447,745C,Caterpillar (U.K.) Limited,TFK,,TFK01647,,TFK,U2,Active,Active,
