Warranty Claim,Transaction Type,Transaction Description,Posting Date,Registration Number,Registration Date,Currency,Settlement Number,Settlement Date,Status,Serial Number,Customer Name,Sales Office,Area,Region,Service Order,Job Control,Claim Class,Invoiced Parts,Invoiced Labor,Invoiced Travel,Invoiced Vehicle,Invoiced Misc,Invoiced Total,Expected Settle Parts,Expected Settle Labor,Expected Settle Travel,Expected Settle Vehicle,Expected Settle Misc,Claimed Parts,Claimed Labor,Claimed Travel,Claimed Vehicle,Claimed Misc,Claimed Total,Settled Total
0073094412,YW01,J248_ENGINE BUBBLE,5/6/2020,,,USD,,,In Process,B9K00539,PT. SAPTAINDRA SEJATI,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600186281,2G,G23,"1,889.63",0.00,0.00,0.00,80.10,"1,969.73",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094413,YW01,J219_WARANTY ENGINE_T5X00419,5/6/2020,L8U2048,5/6/2020,USD,C86SC 157533,5/6/2020,Closed,T5X00419,PT. BARADINAMIKA MUDA SUKSES,0G33,NORTHERN KALIMANTAN,BALIKPAPAN,8600208546,2W,G27,167.02,"1,495.32",21.34,0.00,0.00,"1,683.68",167.02,0.00,0.00,0.00,0.00,134.91,0.00,0.00,0.00,0.00,167.02,167.02
0073094414,YW01,J248_Trial J700 tips on a C70 Adapter,5/6/2020,,,USD,,,In Process,WSN00122,PT. BUKIT MAKMUR MANDIRI UTAMA,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600112859,2G,G23,"4,544.55",251.03,0.00,0.00,0.00,"4,795.58",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094415,YW01,J248_Replacing brake swing ex 8600168950,5/6/2020,,,USD,,,In Process,DNR00133,PT. BUKIT MAKMUR MANDIRI UTAMA,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600189273,2X,G23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094416,YW01,07_2G_Oil Leaks_R E Martadinata_DG5,5/6/2020,,,USD,,,Created,RSD00194,PT. PAL INDONESIA (PERSERO),0A07,JAVA,SURABAYA,8600152447,2G,E28,"1,361.06","1,454.52",74.96,47.60,154.13,"3,092.27","1,312.88","1,283.40",74.96,47.60,48.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094417,YW01,07_2G_Oil Leaks_R E Martadinata_DG2,5/6/2020,,,USD,,,Created,RSD00197,PT. PAL INDONESIA (PERSERO),0A07,JAVA,SURABAYA,8600191649,2G,E28,"1,370.41","2,265.48",85.36,54.60,149.89,"3,925.74","1,325.83","1,461.60",85.36,54.60,44.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094418,YW01,07_2G_Oil Leaks_R E Martadinata_DG2,5/6/2020,,,USD,,,Created,RSD00201,PT. PAL INDONESIA (PERSERO),0A07,JAVA,SURABAYA,8600191650,2G,E28,"1,370.41","2,228.94",85.36,54.60,149.89,"3,889.20","1,325.83","1,461.60",85.36,54.60,44.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094419,YW01,J217_WTY_BRAKE WARNING SWITCH,5/7/2020,L8U2237,5/7/2020,USD,C86SC 157761,5/7/2020,Closed,TAL00971,PT. ANTANG GUNUNG MERATUS,0H86,SOUTHERN KALIMANTAN,BATU LICIN,8600180159,2W,G27,0.00,0.00,0.00,0.00,227.63,227.63,0.00,0.00,0.00,0.00,0.00,152.29,0.00,0.00,0.00,0.00,188.54,188.54
0073094452,YW01,J21Z PS46527-Reworking the cab door,5/8/2020,L8U2726,5/8/2020,USD,,,Registered,KDP00720,PT. SAPTAINDRA SEJATI,0H45,SOUTHERN KALIMANTAN,BANJARMASIN,8600199295,2X,G11,145.94,665.20,42.68,0.00,"1,284.87","2,138.69",145.94,665.20,0.00,0.00,"1,140.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094453,YW01,J21Z PS46527-Reworking the cab door,5/8/2020,L8U2749,5/8/2020,USD,,,Registered,KDP00713,PT. SAPTAINDRA SEJATI,0H45,SOUTHERN KALIMANTAN,BANJARMASIN,8600199419,2X,G11,145.94,489.28,42.68,0.00,681.21,"1,359.11",145.94,109.95,0.00,0.00,536.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00
