PSL No.,PART NUMBER,DESCRIPTION,REQUIRED QUANTITY/SN
PI33106,8T8376,SEAL-HEAD (IF REQUIRED),2
PI33106,8T8380,SEAL-HEAD (IF REQUIRED),2
PI33106,8T8382,SEAL-HEAD (IF REQUIRED),2
PI33106,8U2685,SEAL-O-RING (IF REQUIRED),1
PI33106,931571,RING-RETAINING (IF REQUIRED),2
PI33106,951632,SEAL-O-RING (IF REQUIRED),2
PI33106,961588,RING-BACK UP (IF REQUIRED),2
PI33106,9X2125,BOLT-HEX HEAD (IF REQUIRED),4
PI33106,9X3610,SEAL AS (IF REQUIRED),2
PI33106,1346954,TEE-ORP TO ORFS (IF EQUIPPED AND REQUIRED),1
PI33106,1346954,TEE-ORP TO ORFS (IF REQUIRED AND EQUIPPED),1
PI33106,1672212,SEAL AS-BUFFER (IF REQUIRED),2
PI33106,1672212,SEAL-BUFFER 90 (IF REQUIRED),2
PI33106,1672325,SEAL-ROD 90 (IF REQUIRED),2
PI33106,1672325,SEAL-U-CUP (IF REQUIRED),2
PI33106,2829598,SEAL-WIPER (IF REQUIRED),2
PI33106,2829598,SEAL-WIPER 90 (IF REQUIRED),2
PI33106,3798927,ACTUATOR GP-BSC (IF EQUIPPED AND REQUIRED),1
PI33106,3798927,ACTUATOR GP-BSC (IF REQUIRED AND EQUIPPED),1
PI33106,5778941,PUMP GP-ELEC DR (IF EQUIPPED AND REQUIRED),1
PI33106,5778941,PUMP GP-ELEC DR (IF REQUIRED AND EQUIPPED),1
PI33106,5800231,HOSE AS (IF EQUIPPED AND REQUIRED),1
PI33106,5800231,HOSE AS (IF REQUIRED AND EQUIPPED),1
PI33106,5800233,HOSE AS (IF EQUIPPED AND REQUIRED),1
PI33106,5800233,HOSE AS (IF REQUIRED AND EQUIPPED),1
PI33106,8T4121,WASHER-HARD (IF EQUIPPED AND REQUIRED),2
PI33106,8T4121,WASHER-HARD (IF REQUIRED AND EQUIPPED),2
PI33106,8T4136,BOLT-HEX HEAD (IF EQUIPPED AND REQUIRED),2
PI33106,8T4136,BOLT-HEX HEAD (IF REQUIRED AND EQUIPPED),2
PI33106,8T6876,ADAPTER-ELBOW (IF EQUIPPED AND REQUIRED),1
PI33106,8T6876,ADAPTER-ELBOW (IF REQUIRED AND EQUIPPED),1
PI33112,,5926424 POWER TRAIN SOFTWARE GP,1
PI33112,,5926427 POWER TRAIN SOFTWARE GP,1
PI33112,,SW_ENGINE ENGINE SOFTWARE GP (CHECK SIS),1
PI33112,,SW_TELEMATICS TELEMATICS SOFTWARE GP (IF APPLICABLE- CHECK SIS),1
PI33117,5810996,HARNESS KIT,1
PI33118,8X7948,SHAFT-AXLE (After Failure or Affected Serial No),1
PI33118,9X7550,SEAL-O RIN,1
PI33121,1P3704,SEAL-RECTANGULAR,8
PI33121,5768945,HOSE AS,2
PI33121,5768946,HOSE AS,2
PI33121,5P7468,CLIP-HALF SLOT,12
PI33121,5P7469,CLIP-HALF TANG,12
PI33121,5P8444,GROMMET,12
PI33121,7G5984,CLIP,1
PI33121,7G5985,CLIP,1
PI33121,7G5986,GROMMET,1
PI33127,,PLATE (DEALER FABRICATION),4
PI33137,3445675,NUT-HEX,3
PI33137,5589957,TUBE AS,1
PI33137,8T4121,WASHER-HARD,6
PI33137,8T4182,BOLT-HEX HEAD,3
PI33138,,BRACKET(DEALER FABRICATION),1
PI33138,1070496,ADAPTER-TEE,1
PI33138,1087005,ADAPTER-TEE,1
PI33138,1420038,ADAPTER-ELBOW,1
PI33138,1750447,VALVE AS.-CHECK,1
PI33138,1783620,STRAP-CABLE DUAL,2
PI33138,2006345,MOUNT-SWIVEL,4
PI33138,2042281,STRAP-CABLE,8
PI33138,2S4078,SEAL-O-RING,1
PI33138,3603698,PLUG-HD STOR,1
PI33138,3717210,ADAPTER-STR,1
PI33138,3766640,FILTER GP-O(BSC),3
PI33138,3D2824,SEAL-O-RING-STOR,1
PI33138,5131903,PLATE AS,1
PI33138,5923198,HOSE AS,1
PI33138,5923199,HOSE AS,1
PI33138,5923910,HOSE AS,1
PI33138,5923983,HOSE AS,1
PI33138,5923985,HOSE AS,1
PI33138,5K9090,SEAL-O-RING-ORFS,11
PI33138,6D4244,CLIP-LOOP,2
PI33138,6V8635,ADAPTER-STR,1
PI33138,6V8785,ADAPTER-TEE,1
PI33138,6V9008,ADAPTER-ELBOW,1
PI33138,6V9182,ADAPTER-ELBOW,6
PI33138,6V9746,SEAL-O-RING-ORFS,4
PI33138,6V9854,ADAPTER-ELBOW,2
PI33138,7J9108,SEAL-O-RING-ORFS,1
PI33138,7M8485,SEAL-O-RING-STOR,7
PI33138,7X7729,WASHER-HARD,4
PI33138,8C6798,ADAPTER-TEE,1
PI33138,8C7563,ADAPTER-ELBOW,1
PI33138,8T4121,WASHER-HARD,8
PI33138,8T4136,BOLT-HEX HEAD,12
PI33138,8T4139,BOLT-HEX HEAD,8
PI33138,8T4223,WASHER-HARD,8
PI33138,8X5963,BLOCK,2
PI33138,9X2538,ADAPTER-ELBOW,1
PI33147,1420038,ADAPTER-ELBOW,2
PI33147,1S3311,RING-RETAINING,2
PI33147,2287093,SEAL-O-RING-ORFS,8
PI33147,2385084,SEAL-O-RING-STOR,2
PI33147,3313527,BEARING-SLEEVE,1
PI33147,5901129,HOSE AS,2
PI33147,5908816,BAR AS-EQUALIZER,1
PI33147,7J1309,BEARING-ALIGNING,2
PI33147,8T4121,WASHER-HARD,2
PI33147,8T4196,BOLT-HEX HEAD,2
PI33160,1155411,ADAPTER-ELBOW,1
PI33160,1222340,ADAPTER-STR,1
PI33160,3J1907,SEAL-O-RING-STOR,1
PI33160,5018904,HOSE AS,1
PI33160,6V6609,SEAL-O-RING,1
PI33160,6V8397,SEAL-O-RING-ORFS,1
PI33164,,No parts needed for this program,0
PI33174,2S2140,NUT-TRACK,8
PI33174,6I9239,LINK-TRACK (RH),2
PI33174,6I9240,LINK-TRACK (LH),2
PI33174,7H3599,BOLT-TRACK,8
PI33174,8M6238,SPACER,8
PI33174,8M6239,WASHER,16
PI33174,1154924,BUSHING-TRACK,4
PI33174,5162015,PIN-TRACK,4
PS44340,3535995,KIT-SEAL (SCL),12
PS44340,4421702,KIT-GASKET (SCH),12
PS45355,3G1229,SHIM (as required),1
PS45355,3G1230,SHIM (as required),1
PS45355,3G1231,SHIM (as required),1
PS45355,5058896,BRACKET,1
PS45475,2539950,SEAL-O-RING,32
PS45475,4226176,SEAL-O-RING,16
PS45475,4935366,DOWEL AS,16
PS45482,3908885,COUPLING-PUMP (After Failure Only),1
PS45482,5200323,PIN-DOWEL,2
PS45482,6V8200,BOLT-SOCKET HEAD (After Failure Only),3
PS45654,3567064,CRANKSHAFT AS,1
PS45835,,Loctite 5923 Aviation Sealant (as required),1
PS45835,,OIL_BULK 45 L DEO (as required),1
PS45835,,VCI_OIL VCI listed in SEHS9031 (as required),1
PS45835,1090073,SEAL-O-RING,1
PS45835,1241854,BOLT-12 POINT HD,10
PS45835,1241855,BOLT-12 PT HEAD,16
PS45835,1299452,GASKET-EXH MANF,6
PS45835,1422329,SEAL-DRAINBACK,1
PS45835,1515925,BOLT-OIL JET (as required),6
PS45835,1550809,SEAL-LINER,6
PS45835,1552793,SEAL-LINER,12
PS45835,1674407,SEAL-O-RING,2
PS45835,1R1808,FILTER-LUBE (AFTER FAILURE ONLY),2
PS45835,1S9540,DOWEL (as required),1
PS45835,2133217,BOLT,24
PS45835,2239159,RING-PISTON,6
PS45835,2271204,GASKET,1
PS45835,2303728,SEAL-FUEL SYSTEM,6
PS45835,2303775,SEAL-FUEL SYSTEM,6
PS45835,2382707,RING-PISTON,6
PS45835,2465659,RING-PISTON-OIL,6
PS45835,2613450,BEARING-ROD (as required),6
PS45835,2748359,TUBE AS.-OIL JET (as required),6
PS45835,3535065,GASKET-OIL PAN,2
PS45835,3590908,GASKET-CYL HEAD,1
PS45835,3E6772,SEAL-WATER,24
PS45835,3S9643,SEAL-LIP TYPE,2
PS45835,4N0699,GASKET,1
PS45835,4N1650,DOWEL (as required),1
PS45835,5560701,LINER-CYLINDER,6
PS45835,5H1504,WASHER-HARD,26
PS45835,5M6509,SEAL-O RING,3
PS45835,5P0840,SEAL-O-RING,2
PS45835,5P5846,SEAL-O-RING,1
PS45835,5P8068,SEAL-O-RING,1
PS45835,6I1055,DOWEL (as required),1
PS45835,6V4367,SEAL-O RING,1
PS45835,8S9191,BOLT,6
PS45835,9L5854,BAND-FILLER,6
PS45835,9X7317,SEAL-FUEL SYSTEM,6
PS45836,5492754,SFWR GP-A3000,1
PS45837,5492756,SFWR GP-A3000,1
PS45843,,SEALANT LOCTITE 5923,1
PS45843,1075769,SEAL-O-RING (as required),2
PS45843,1090076,SEAL-O-RING (as required),4
PS45843,1090078,SEAL-O-RING (as required),2
PS45843,1178801,SEAL-O-RING (as required),4
PS45843,1185068,SEAL-O-RING (as required),1
PS45843,1299452,GASKET-EXH MANF,12
PS45843,1501156,BOLT - OIL JET,12
PS45843,1550809,SEAL-LINER,12
PS45843,1550810,SEAL-LINER,12
PS45843,1552793,SEAL-LINER,12
PS45843,1674407,SEAL-O-RING (as required),14
PS45843,1986068,SEAL-INTEGRAL,2
PS45843,1J9671,SEAL-O-RING (as required),1
PS45843,1R1808,FILTER-LUBE (as required),2
PS45843,2054831,SEAL-O-RING (as required),2
PS45843,2133217,BOLT,48
PS45843,2147566,SEAL-O-RING-STOR (as required),2
PS45843,2147568,SEAL-O-RING-STOR (as required),4
PS45843,2226456,SEAL,2
PS45843,2247506,SEAL-ISOLATION,6
PS45843,2253099,GASKET-CYL HEAD,2
PS45843,2265613,GASKET,2
PS45843,2287091,SEAL-O-RING-ORFS (as required),2
PS45843,2295332,GASKET,2
PS45843,2303728,SEAL-FUEL SYSTEM,12
PS45843,2303775,SEAL-FUEL SYSTEM,12
PS45843,2314708,SEAL-O-RING (as required),2
PS45843,2323226,BEARING-ROD,12
PS45843,2348937,SEAL-INTEGRAL,2
PS45843,2385080,SEAL-O-RING-STOR (as required),3
PS45843,2385081,SEAL-O-RING-STOR (as required),4
PS45843,2391139,SEAL (as required),2
PS45843,2395571,SEAL-INTEGRAL,1
PS45843,2395572,SEAL-INTEGRAL,2
PS45843,2465659,RING-PISTON-OIL,12
PS45843,2918144,SEAL-O-RING-STOR (as required),1
PS45843,2N2766,LOCKNUT,8
PS45843,3445153,RING-PISTON,12
PS45843,3492568,RING-PISTON-TOP,12
PS45843,3548484,GASKET-PLATE,2
PS45843,3556043,TUBE AS-OIL JET,12
PS45843,3571752,GASKET-TURBO (T),2
PS45843,3591439,SEAL AS-WATER,48
PS45843,3620801,SEAL-INTEGRAL,6
PS45843,3638595,SEAL-INTEGRAL,2
